portata_aria OUT,s7_pressione ingresso acqua,portata_aria IN,Input_Flow_rate,pressione_eiettore,pressione_tubo miscelatore,pressione_serbatoio,Level inside the tank,pressure_air v.,potentiometer_air,Pressure on the digaphram of valve,Displacement of the valve mm,Displacement of the valve,%Aria_out,Valve_Percentage,%Pompa_acqua_in,Setpoint_Aria,Setpoint_Acqua,Setpoint_Pompa,Pid_Aria_onoff,Pid_Acqua_onoff,Pid_Pompa_onoff,time,Retrived step ms,Time steps ms,Pid_Aria_integral,Pid_Aria_derivative,Pid_Aria_proportional,Pid_Aria_last_error,Pid_Aria_last_input,Pid_Aria_last_output,Pid_Acqua_integral,Pid_Acqua_derivative,Pid_Acqua_proportional,Pid_Acqua_last_error,Pid_Acqua_last_input,Pid_Acqua_last_output,Pid_Pompa_integral,Pid_Pompa_derivative,Pid_Pompa_proportional,Pid_Pompa_last_error,Pid_Pompa_last_input,Pid_Pompa_last_output,mA_Aria_out,mA signal of controller of the valve water,solenoid of the valve water,time.1,Retrived step ms.1,Time steps ms.1,mA_Pompa_acqua_in,v_man_1,v_man_2,v_man_3,v_man_4,v_man_5,v_man_6,v_man_7,v_man_8,v_man_9,v_man_10,Interpolated_Flow_Rate
0.047,0.993,0.659,0.375,0.966,1.045,1.015,204.676,-0.01,1.805,0.19,0.005,-0.005,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809187,99,99,10100.0,0,0,455,3982,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809187,99,0.099,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.015,204.676,-0.01,1.805,0.19,0.005,-0.005,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809286,99,198,10100.0,0,0,455,3982,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809286,99,0.198,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.805,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809385,91,289,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809385,91,0.289,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.805,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809476,109,398,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809476,109,0.398,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.808,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809585,91,489,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809585,91,0.489,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.808,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809676,110,599,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809676,110,0.599,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.808,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809786,99,698,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809786,99,0.698,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.047,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.808,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809885,91,789,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809885,91,0.789,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.055,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.808,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87809976,99,888,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87809976,99,0.888,4000,0,0,0,0,0,0,0,0,0,0,9.8532
0.055,0.993,0.659,0.375,0.966,1.045,1.016,204.676,-0.01,1.808,0.19,0.003,0.003,0.0,0.0,0.0,1.3,299.982,5.5,0,0,0,87810075,112,1000,10100.0,0,0,454,3983,10100,6500.0,0.0,0.0,2163,8527,6500,4000.0,0,0.0,7218,5595,4000,10100,6500,6.5,87810075,112,1.0,4000,0,0,0,0,0,0,0,0,0,0,9.8532
